h,beta_h,T_h,beta_h_rz,T_h_rz
0,0.08031322,504,0.05098764,500
1,0.12736268,503,0.07474070,499
2,0.17328883,502,0.10685959,498
3,0.19559668,501,0.11339408,497
4,0.25914063,500,0.16120451,496
5,0.29948045,499,0.19450668,495
6,0.33597684,498,0.22100624,494
7,0.33793131,497,0.20351909,493
8,0.36190589,496,0.22948028,492
9,0.39762660,495,0.27587479,491
10,0.40421035,494,0.29376385,490
11,0.38403739,493,0.28838355,489
12,0.34267669,492,0.25634327,488
13,0.30524705,491,0.22821936,487
14,0.27083342,490,0.20836867,486
15,0.22105597,489,0.16820027,485
16,0.17190777,488,0.12506644,484
17,0.13399695,487,0.09665396,483
18,0.11626629,486,0.08878781,482
19,0.09589899,485,0.08023931,481
20,0.07955170,484,0.06714814,480
