rho,h,mean,truth,n,sd,p5,p95,bias,mcse
.5,0,1.0038583,1,199,.073009863,.88429284,1.1247633,.0038583279,.0032651003
.5,1,.49407223,.5,198,.1084899,.32406554,.66888863,-.0059277713,.0048518158
.5,2,.23926106,.25,197,.11498527,.048415646,.42511553,-.010738939,.0051422976
.5,3,.11918539,.125,196,.11788636,-.073805258,.31891209,-.0058146119,.0052720383
.5,4,.052330825,.0625,195,.12347896,-.15562184,.2652033,-.010169175,.0055221473
.5,5,.022620434,.03125,194,.11959697,-.17158607,.21508859,-.0086295661,.005348539
.5,6,.016780877,.015625,193,.11197619,-.16970575,.20749888,.0011558775,.0050077275
.5,7,.0013108442,.0078125,192,.11729478,-.19243953,.19860524,-.006501656,.0052455822
.5,8,-.0034164698,.00390625,191,.12337384,-.19674692,.2049765,-.0073227198,.005517446
.5,9,-.011377625,.001953125,190,.11595662,-.19654584,.18788475,-.01333075,.0051857377
.5,10,-.0080752959,.0009765625,189,.11782794,-.22036302,.16470078,-.0090518584,.0052694255
.5,11,-.0040156641,.00048828125,188,.11727201,-.19753426,.19507939,-.0045039454,.0052445638
.5,12,-.012123875,.00024414063,187,.12032986,-.19965248,.18164051,-.012368016,.005381315
.9,0,1.003997,1,199,.073357657,.87934887,1.1253002,.0039969683,.0032806541
.9,1,.89311218,.89999998,198,.12370408,.69219112,1.0934148,-.0068877935,.0055322144
.9,2,.79315239,.81,197,.15182848,.5538727,1.0540637,-.01684761,.0067899763
.9,3,.7103824,.72899997,196,.17542262,.4278037,1.035753,-.01861757,.0078451382
.9,4,.62982756,.65609998,195,.19782797,.31997153,.95768946,-.026272416,.0088471351
.9,5,.5604341,.59048998,194,.2096912,.20380059,.92266852,-.030055881,.0093776751
.9,6,.5077588,.53144097,193,.20646009,.17769578,.86804014,-.023682177,.0092331758
.9,7,.44770759,.47829691,192,.21918043,.098723918,.80738795,-.030589312,.0098020472
.9,8,.39725581,.43046722,191,.22840343,.046705022,.79266751,-.03321141,.010214512
.9,9,.34564286,.38742048,190,.21788265,-.007892523,.69356024,-.041777611,.0097440081
.9,10,.30657431,.34867844,189,.21678059,-.043725021,.65847421,-.042104125,.0096947225
.9,11,.27333122,.31381059,188,.21711223,-.066248268,.66990143,-.040479362,.0097095538
.9,12,.23353824,.28242955,187,.22457972,-.10696801,.63541657,-.048891306,.01004351
