t,s,v,y
1,-1.1373634,-.10624045,-1.9208564
2,.6782853,.87896901,-.1715164
3,-.052217387,.83401841,.62743628
4,-.47713703,-.87741572,-.78986007
5,-.068435021,-.80346292,-1.582772
6,.97100091,.44744721,-.0060466947
7,1.5554731,-1.2598003,.29023075
8,1.1543671,.42926392,1.8448387
9,1.7746086,-.1142583,3.3207052
10,-2.6865196,-1.0382929,-.73617786
11,-.61831331,.99112821,-.28974518
12,-.96433938,-.14956906,-1.3746791
13,1.3315946,-1.1567174,-1.0623341
14,.73306024,.53613585,.31309545
15,-.26614311,1.2300817,1.2457244
16,-1.4288682,.53831905,.23060288
17,.6094889,-.9044857,-.087454207
18,.29475483,-.31157416,-.095528111
19,.21226433,-1.2833426,-1.1570536
20,-.98363054,3.1519487,1.1269699
21,-.42679608,-.40028182,.18719505
22,.46381566,.41090927,1.0432005
23,-.49676025,.33112043,.77324063
24,.52845132,-.10533169,1.1190362
25,1.7430943,-.32479963,2.4254272
26,.42806581,1.1430447,3.7539949
27,.95918781,-.68566513,3.6521182
28,-.36925876,-.36311823,2.5545294
29,-.51972598,.28450906,2.0638595
30,-.94920045,1.7398959,2.648169
31,.38290164,-.14685299,2.6194007
32,-1.6159546,1.7214404,2.4629464
33,-1.2504479,-2.6184001,-1.6521962
34,-.28467053,.53769499,-1.233952
35,2.4447749,.05182213,1.3860402
36,.88707578,-.45467663,1.6798353
37,-1.1193022,.13277337,.52532303
38,-.20125808,.46135283,.73288548
39,-2.499943,-.46272954,-2.3030756
40,-1.3132536,-.2067465,-3.5927682
41,.6819331,1.5916121,-.95994616
42,-.76926214,-.1535303,-1.786744
43,-.19824672,-.15799262,-1.964309
44,-.85287392,2.3800082,-.24074379
45,-1.9888946,.88453746,-1.3210266
46,1.6748956,.52919644,1.0151682
47,.068263687,-1.9505004,-.96858531
48,.73483282,.52486545,.38797149
49,.53150123,-.33425927,.54641628
50,.67207849,-.13474981,1.0291033
51,-.45101303,.80709606,1.282276
52,.92494041,2.3204775,4.3994665
53,-.26023206,1.6704541,5.3697419
54,.60107356,-.46239024,4.9714508
55,-.32431668,-.32704979,3.8229392
