lab,quantity,browser,stata,difference,result
Lab 2,slope at h = 2,2.05002400,2.05002437,0.00000037,agrees within 1e-6
Lab 3,slope at h = 0,0.87894000,0.87894028,0.00000028,agrees within 1e-6
Lab 3,slope at h = 1,0.85326000,0.85326038,0.00000038,agrees within 1e-6
Lab 3,slope at h = 2,0.61273700,0.61273705,0.00000005,agrees within 1e-6
Lab 3,slope at h = 3,0.61104600,0.61104632,0.00000032,agrees within 1e-6
Lab 3,slope at h = 4,0.54847700,0.54847739,0.00000039,agrees within 1e-6
Lab 3,slope at h = 5,0.58309900,0.58309851,-0.00000049,agrees within 1e-6
Lab 3,slope at h = 6,0.50912000,0.50912038,0.00000038,agrees within 1e-6
Lab 3,slope at h = 7,0.41778800,0.41778779,-0.00000021,agrees within 1e-6
Lab 3,slope at h = 8,0.24059500,0.24059456,-0.00000044,agrees within 1e-6
Lab 3,slope at h = 9,0.13029300,0.13029288,-0.00000012,agrees within 1e-6
Lab 3,slope at h = 10,-0.02882100,-0.02882139,-0.00000039,agrees within 1e-6
Lab 3,slope at h = 11,-0.11720000,-0.11719967,0.00000033,agrees within 1e-6
Lab 3,slope at h = 12,-0.29329700,-0.29329663,0.00000037,agrees within 1e-6
Lab 4,"estimate at h = 8, drop1950q3",0.43396900,0.43396908,0.00000008,agrees within 1e-6
Lab 4,"estimate at h = 8, full sample",0.36190600,0.36190589,-0.00000011,agrees within 1e-6
Lab 4,hypothesis: lower,0.30000000,0.43396908,0.13396908,direction refuted
