t,s,v,y
1,-1.1373634,-.10624045,-2.1919305
2,.6782853,.87896901,.46128905
3,-.052217387,.83401841,1.0124456
4,-.47713703,-.87741572,-.84832996
5,-.068435021,-.80346292,-1.2960629
6,.97100091,.44744721,.77041662
7,1.5554731,-1.2598003,.68088108
8,1.1543671,.42926392,1.9240716
9,1.7746086,-.1142583,2.622386
10,-2.6865196,-1.0382929,-2.4136195
11,-.61831331,.99112821,-.83399487
12,-.96433938,-.14956906,-1.5309058
13,1.3315946,-1.1567174,-.59057575
14,.73306024,.53613585,.97390819
15,-.26614311,1.2300817,1.4508927
16,-1.4288682,.53831905,-.16510278
17,.6094889,-.9044857,-.37754819
18,.29475483,-.31157416,-.20559342
19,.21226433,-1.2833426,-1.173875
20,-.98363054,3.1519487,1.5813806
21,-.42679608,-.40028182,-.036387593
22,.46381566,.41090927,.85653114
23,-.49676025,.33112043,.26262575
24,.52845132,-.10533169,.55443251
25,1.7430943,-.32479963,1.695511
26,.42806581,1.1430447,2.4188659
27,.95918781,-.68566513,1.4829557
28,-.36925876,-.36311823,.0091008544
29,-.51972598,.28450906,-.23066649
30,-.94920045,1.7398959,.67536223
31,.38290164,-.14685299,.57372975
32,-1.6159546,1.7214404,.39235067
33,-1.2504479,-2.6184001,-3.6726727
34,-.28467053,.53769499,-1.5833119
35,2.4447749,.05182213,1.704941
36,.88707578,-.45467663,1.2848697
37,-1.1193022,.13277337,-.34409395
38,-.20125808,.46135283,.088047773
39,-2.499943,-.46272954,-2.9186487
40,-1.3132536,-.2067465,-2.9793246
41,.6819331,1.5916121,.78388292
42,-.76926214,-.1535303,-.53085101
43,-.19824672,-.15799262,-.62166482
44,-.85287392,2.3800082,1.2163019
45,-1.9888946,.88453746,-.49620616
46,1.6748956,.52919644,1.955989
47,.068263687,-1.9505004,-.90424216
48,.73483282,.52486545,.80757719
49,.53150123,-.33425927,.60103059
50,.67207849,-.13474981,.83784395
51,-.45101303,.80709606,.77500498
52,.92494041,2.3204775,3.6329203
53,-.26023206,1.6704541,3.2266822
54,.60107356,-.46239024,1.7520244
55,-.32431668,-.32704979,.22464573
56,.23314311,-.55806851,-.21260254
57,-1.8516711,1.3751469,-.58282548
58,-.95185488,-.18426703,-1.4275347
59,-2.4254036,.99151355,-2.1476574
60,-.24509397,-.15204448,-1.4709672
61,-1.0072293,1.4255427,-.3171702
62,-.71451533,-.99295294,-1.8660533
63,-1.5142689,-.22576243,-2.673058
64,.88605791,-.15722811,-.60769922
65,-.31747869,1.2589529,.63762456
66,-1.3009362,-.98122555,-1.9633495
67,.63895243,1.0805193,.73779702
68,.71902817,.89523804,1.9831648
69,.5135209,-.71301931,.79208398
70,-.78873748,1.3978344,1.0051389
71,1.2295784,-.63869208,1.0934558
72,.32075027,1.4042542,2.2717323
73,1.5087081,.74147886,3.3860531
74,-.88397366,-.090380304,.71867257
75,.56340069,-.86063701,.062099963
76,-1.0025464,.54483616,-.4266603
77,-.25545648,-2.2463684,-2.7151551
78,1.1857013,-.29244468,-.46432099
79,-1.483824,.74196589,-.97401863
80,-1.2074326,.16981918,-1.5246228
81,-1.4904104,-.45879501,-2.7115169
82,-1.0215993,-1.2322649,-3.6096225
83,1.7180535,.25886178,.172104
84,-.13092695,.16527659,.12040164
85,.16298102,-.87186074,-.6486789
86,-.99964184,.4520143,-.87196696
87,-.76660103,.83581662,-.36676788
88,.074602641,.67417395,.56539267
89,-1.2690139,1.7428302,.75651264
90,1.5688962,-1.1984526,.7486999
91,-.50074381,1.3761195,1.2497256
92,-1.8176963,-.45874214,-1.6515757
93,1.5214601,.69525337,1.3909256
94,-1.1315705,2.4463785,2.0102708
95,-1.4386984,.42370406,-.0098589361
96,-.04403409,.23990515,.19094159
97,.33591118,.52960157,.96098357
98,-.045227416,.81481892,1.2500833
99,-1.2999163,-1.3337666,-2.0086412
100,-.35433146,.92166668,-.4369854
101,-2.1515665,.65161818,-1.718441
102,-.31666866,1.8641731,.68828392
103,.61742151,-.60166377,.3598997
104,.41914192,1.1367711,1.7358629
105,.68979234,-2.6509364,-1.0932126
106,1.0220239,1.2437919,1.7192096
107,1.0533956,-.45770848,1.455292
108,-.49493992,.80362058,1.0363266
109,-1.3543683,.63907707,-.19712794
110,-.1552978,1.9715977,1.7177359
111,-1.1502708,2.3126857,2.0212829
112,1.4590324,.12199975,2.5916736
113,1.2116764,-1.6566781,.85083508
114,-.42926982,.94803327,.94418097
115,.62154114,-1.2638648,-.17023313
116,-1.579594,-.24277163,-1.9074821
117,.55235237,.11544072,-.28594798
118,.71503735,.54726243,1.1193258
119,1.5216225,-1.2406967,.84058875
120,-.14866927,.25263676,.52426183
121,-.23479357,2.1387758,2.1661131
122,-1.3703744,.86986011,.58254224
123,.2417662,-.33785167,.19518565
124,-.21049909,-.036595359,-.14950162
125,-.066230461,-.44273463,-.58371592
126,-.89581281,.29746929,-.89020145
127,1.0303122,.30350047,.88871193
128,.46531513,-.91031796,-.00064685941
129,-1.5464879,-1.9416343,-3.4884458
130,.34955373,1.7162515,.32158235
131,-1.2204914,.16564411,-.89405614
132,1.3654815,1.0294404,1.9478939
133,.44275206,.15280586,1.5695049
134,-.12311884,.02761054,.68924415
135,-.66850257,1.1090792,.78519875
136,.78303611,.2548131,1.4304485
137,.67788899,1.0199453,2.4130585
138,.18543208,-1.0385944,.35336697
139,-.41091922,-2.1992924,-2.4335282
140,-.14000922,-.21668777,-1.5734611
141,.1104344,.61838663,-.057909504
142,-.86134988,-1.4090531,-2.2993577
143,-.76645762,-.22702637,-2.1431627
144,-.66003817,-.55216551,-2.2837851
145,.68058974,.99925524,.53795242
146,1.8311772,-1.5518141,.54833937
147,-1.3893039,-.34721655,-1.4623508
148,-.77387667,.95430738,-.55074471
149,.46688011,1.2547266,1.4462345
150,.74659437,-.19213489,1.2775767
151,-1.0588788,.079976752,-.3401137
152,-1.6172926,.96338582,-.82396364
153,.15884171,1.541641,1.2885009
154,-.76598865,-.74646842,-.86820662
155,-.37757498,1.4292508,.61757255
156,-.14874412,-.83412683,-.67408466
157,-.71951967,1.9858092,.9292472
158,-.4900862,.21691793,.19145533
159,1.3160172,-.7806645,.63108033
160,-.0041302247,1.079726,1.3911359
161,-1.6819971,.3508735,-.63555562
162,.091072842,-.71449739,-.94120234
163,.6386565,.26912782,.43718314
164,-1.0746883,.36685047,-.48924628
165,-.5930059,-.91131324,-1.7489423
166,.34799024,-.45783442,-.98431528
167,.29128841,1.1090914,.9082222
168,-.20156561,-1.2137568,-.96121132
169,.26206195,.040828422,-.17771529
170,-1.038289,-1.9881945,-3.1153409
171,.85757238,-.34417868,-1.0442767
172,.86336154,-.021413408,.31980976
173,.67368895,.41750062,1.2510945
174,-1.281852,-.43309298,-1.0893978
175,-.90546095,-1.9628726,-3.4130325
176,1.0361427,-1.0396286,-1.7100022
177,1.7638128,-.45190445,.45690724
178,.020149121,.66257322,.91117597
179,-.18379943,-.72937429,-.45758575
180,.1974877,-.14016636,-.17147154
181,-1.3538774,.5828076,-.85680556
182,.66930515,.039024428,.27992678
183,.25527689,-.74396396,-.34872368
184,-.95437646,-.73566443,-1.8644028
185,.51530474,-.16808532,-.58498198
186,1.3858967,.89482623,1.9882319
187,.70331293,1.1206332,2.8180621
188,1.80047,-.32855129,2.8809497
189,.76926553,1.5353184,3.7450588
190,-.15429863,1.2806587,2.9988894
191,.3651787,1.145784,3.0104074
192,.82642335,-.6122148,1.7194123
193,.25212365,-.40073565,.71109414
194,1.7051753,-.034157023,2.0265653
195,.27095592,1.7094448,2.9936833
196,-1.5055847,.8202709,.81152785
