t,s,v,y
1,-1.1373634,-0.10624045,-1.9208564
2,0.6782853,0.87896901,-0.1715164
3,-0.052217387,0.83401841,0.62743628
4,-0.47713703,-0.87741572,-0.78986007
5,-0.068435021,-0.80346292,-1.582772
6,0.97100091,0.44744721,-0.0060466947
7,1.5554731,-1.2598003,0.29023075
8,1.1543671,0.42926392,1.8448387
9,1.7746086,-0.1142583,3.3207052
10,-2.6865196,-1.0382929,-0.73617786
11,-0.61831331,0.99112821,-0.28974518
12,-0.96433938,-0.14956906,-1.3746791
13,1.3315946,-1.1567174,-1.0623341
14,0.73306024,0.53613585,0.31309545
15,-0.26614311,1.2300817,1.2457244
16,-1.4288682,0.53831905,0.23060288
17,0.6094889,-0.9044857,-0.087454207
18,0.29475483,-0.31157416,-0.095528111
19,0.21226433,-1.2833426,-1.1570536
20,-0.98363054,3.1519487,1.1269699
21,-0.42679608,-0.40028182,0.18719505
22,0.46381566,0.41090927,1.0432005
23,-0.49676025,0.33112043,0.77324063
24,0.52845132,-0.10533169,1.1190362
25,1.7430943,-0.32479963,2.4254272
26,0.42806581,1.1430447,3.7539949
27,0.95918781,-0.68566513,3.6521182
28,-0.36925876,-0.36311823,2.5545294
29,-0.51972598,0.28450906,2.0638595
30,-0.94920045,1.7398959,2.648169
31,0.38290164,-0.14685299,2.6194007
32,-1.6159546,1.7214404,2.4629464
33,-1.2504479,-2.6184001,-1.6521962
34,-0.28467053,0.53769499,-1.233952
35,2.4447749,0.05182213,1.3860402
36,0.88707578,-0.45467663,1.6798353
37,-1.1193022,0.13277337,0.52532303
38,-0.20125808,0.46135283,0.73288548
39,-2.499943,-0.46272954,-2.3030756
40,-1.3132536,-0.2067465,-3.5927682
41,0.6819331,1.5916121,-0.95994616
42,-0.76926214,-0.1535303,-1.786744
43,-0.19824672,-0.15799262,-1.964309
44,-0.85287392,2.3800082,-0.24074379
45,-1.9888946,0.88453746,-1.3210266
46,1.6748956,0.52919644,1.0151682
47,0.068263687,-1.9505004,-0.96858531
48,0.73483282,0.52486545,0.38797149
49,0.53150123,-0.33425927,0.54641628
50,0.67207849,-0.13474981,1.0291033
51,-0.45101303,0.80709606,1.282276
52,0.92494041,2.3204775,4.3994665
53,-0.26023206,1.6704541,5.3697419
54,0.60107356,-0.46239024,4.9714508
55,-0.32431668,-0.32704979,3.8229392
56,0.23314311,-0.55806851,3.1157198
57,-1.8516711,1.3751469,2.3276236
58,-0.95185488,-0.18426703,0.95873934
59,-2.4254036,0.99151355,-0.57102466
60,-0.24509397,-0.15204448,-0.91106063
61,-1.0072293,1.4255427,-0.40164119
62,-0.71451533,-0.99295294,-2.0689454
63,-1.5142689,-0.22576243,-3.6020823
64,0.88605791,-0.15722811,-2.5130441
65,-0.31747869,1.2589529,-1.3202655
66,-1.3009362,-0.98122555,-3.4704008
67,0.63895243,1.0805193,-1.4038889
68,0.71902817,0.89523804,0.35076618
69,0.5135209,-0.71301931,0.11619115
70,-0.78873748,1.3978344,0.713669
71,1.2295784,-0.63869208,1.2331884
72,0.32075027,1.4042542,2.8348739
73,1.5087081,0.74147886,4.8015733
74,-0.88397366,-0.090380304,3.3470619
75,0.56340069,-0.86063701,2.7151194
76,-1.0025464,0.54483616,1.9858972
77,-0.25545648,-2.2463684,-0.71451741
78,1.1857013,-0.29244468,0.25019091
79,-1.483824,0.74196589,-0.51668632
80,-1.2074326,0.16981918,-1.5026312
81,-1.4904104,-0.45879501,-3.3015735
82,-1.0215993,-1.2322649,-5.2252803
83,1.7180535,0.25886178,-2.725837
84,-0.13092695,0.16527659,-2.4189036
85,0.16298102,-0.87186074,-2.8858929
86,-0.99964184,0.4520143,-3.1449311
87,-0.76660103,0.83581662,-2.7612224
88,0.074602641,0.67417395,-1.7363235
89,-1.2690139,1.7428302,-1.0888748
